Standardized_SMILES,CYP1A2,CYP2A6,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2D6,CYP2E1,CYP3A4
C=C(F)C(=O)N1CCN(c2nc(OC[C@@]34CCCN3C[C@H](F)C4)nc3c2CO[C@H](c2c(F)c(N)cc(C)c2C(F)(F)F)C3)C[C@@H]1CC#N,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
C=C(N)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(N)C(N)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C=C(NC)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(OP(=O)(O)O)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(O[C@H]1C=CC=C(C(=O)O)[C@@H]1O)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C/C(C)=C/C=C/C(C)=C/C=C1/C(C)=CCCC1(C)C,,0.0,0.0,,,,,0.0,
C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C/C=C/C=C/CCC(C)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C/C=C/[C@@]1(C)SC(=O)C(C)=C1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C/C=N/[C@@H]1CCc2c(O)cccc21,,0.0,,,0.0,,,0.0,
C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@@H](C)C/C=C/C(O)(CC)CC)=CC[C@@H]23)C[C@@H](O)C[C@@H]1F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)OCC(=O)NCC(F)(F)C(F)(F)F)=CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H](C#CC#CC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)OCCCC(O)(CC)CC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/C=C/C(O)(CC)CC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
